,UserId,SurveyId,ANS_Q1,ANS_Q2,ANS_Q3,ANS_Q4
0,42,1,3.0,-1.0,,
1,296,1,5.0,-1.0,,
2,1793,1,-1.0,6.0,,
3,2411,1,-1.0,1.0,,
4,2634,1,3.0,-1.0,,
5,2957,1,-1.0,2.0,,
6,3714,1,7.0,-1.0,,
7,4682,1,-1.0,3.0,,
8,5178,1,-1.0,8.0,,
9,6131,1,9.0,-1.0,,
10,7347,1,9.0,-1.0,,
11,8245,1,1.0,-1.0,,
12,8412,1,-1.0,3.0,,
13,9272,1,5.0,-1.0,,
14,9584,1,9.0,-1.0,,
15,10291,1,5.0,-1.0,,
16,10541,1,4.0,-1.0,,
17,10976,1,-1.0,5.0,,
18,12119,1,7.0,-1.0,,
19,12447,1,6.0,-1.0,,
20,13187,1,8.0,-1.0,,
21,15248,1,0.0,-1.0,,
22,15984,1,3.0,-1.0,,
23,16434,1,0.0,-1.0,,
24,17609,1,-1.0,6.0,,
25,18176,1,-1.0,6.0,,
26,18636,1,-1.0,1.0,,
27,18730,1,0.0,-1.0,,
28,19156,1,-1.0,3.0,,
29,19354,1,-1.0,5.0,,
30,19662,1,1.0,-1.0,,
31,20039,1,-1.0,8.0,,
32,20108,1,0.0,-1.0,,
33,21617,1,2.0,-1.0,,
34,22382,1,5.0,-1.0,,
35,22453,1,-1.0,0.0,,
36,22766,1,6.0,-1.0,,
37,24063,1,4.0,-1.0,,
38,24610,1,0.0,-1.0,,
39,25088,1,9.0,-1.0,,
40,25149,1,2.0,-1.0,,
41,25937,1,-1.0,8.0,,
42,26465,1,3.0,-1.0,,
43,26941,1,3.0,-1.0,,
44,27198,1,-1.0,5.0,,
45,27496,1,-1.0,2.0,,
46,27553,1,7.0,-1.0,,
47,30100,1,-1.0,0.0,,
48,30480,1,1.0,-1.0,,
49,30913,1,0.0,-1.0,,
50,31404,1,-1.0,0.0,,
51,33206,1,-1.0,9.0,,
52,33462,1,-1.0,2.0,,
53,33467,1,-1.0,8.0,,
54,34048,1,-1.0,9.0,,
55,34052,1,-1.0,3.0,,
56,37128,1,-1.0,0.0,,
57,38149,1,-1.0,8.0,,
58,38529,1,-1.0,7.0,,
59,40300,1,8.0,-1.0,,
60,40592,1,7.0,-1.0,,
61,42469,1,7.0,-1.0,,
62,42760,1,2.0,-1.0,,
63,43951,1,3.0,-1.0,,
64,44003,1,-1.0,9.0,,
65,44108,1,-1.0,5.0,,
66,44504,1,-1.0,5.0,,
67,44561,1,-1.0,4.0,,
68,44796,1,5.0,-1.0,,
69,44935,1,1.0,-1.0,,
70,46080,1,1.0,-1.0,,
71,46294,1,-1.0,9.0,,
72,46518,1,-1.0,0.0,,
73,46700,1,-1.0,7.0,,
74,46831,1,-1.0,4.0,,
75,47770,1,1.0,-1.0,,
76,47868,1,-1.0,1.0,,
77,49323,1,-1.0,7.0,,
78,49327,1,-1.0,0.0,,
79,49501,1,-1.0,7.0,,
80,49868,1,0.0,-1.0,,
81,49871,1,-1.0,6.0,,
82,50238,1,-1.0,3.0,,
83,50610,1,3.0,-1.0,,
84,51840,1,-1.0,3.0,,
85,52365,1,-1.0,6.0,,
86,53834,1,3.0,-1.0,,
87,53969,1,6.0,-1.0,,
88,55266,1,0.0,-1.0,,
89,56596,1,0.0,-1.0,,
90,56749,1,5.0,-1.0,,
91,57246,1,-1.0,4.0,,
92,57596,1,4.0,-1.0,,
93,58217,1,-1.0,1.0,,
94,59348,1,2.0,-1.0,,
95,61364,1,2.0,-1.0,,
96,61390,1,-1.0,8.0,,
97,61771,1,-1.0,5.0,,
98,62069,1,-1.0,5.0,,
99,62332,1,-1.0,3.0,,
100,63159,1,1.0,-1.0,,
101,63587,1,9.0,-1.0,,
102,64104,1,-1.0,5.0,,
103,65563,1,6.0,-1.0,,
104,67220,1,8.0,-1.0,,
105,67267,1,-1.0,3.0,,
106,67439,1,-1.0,9.0,,
107,67769,1,7.0,-1.0,,
108,67988,1,-1.0,0.0,,
109,68366,1,8.0,-1.0,,
110,68427,1,4.0,-1.0,,
111,68564,1,0.0,-1.0,,
112,70292,1,-1.0,4.0,,
113,70324,1,-1.0,6.0,,
114,70678,1,0.0,-1.0,,
115,71346,1,8.0,-1.0,,
116,72701,1,0.0,-1.0,,
117,73351,1,1.0,-1.0,,
118,74377,1,4.0,-1.0,,
119,74546,1,-1.0,5.0,,
120,74936,1,-1.0,1.0,,
121,75447,1,3.0,-1.0,,
122,75853,1,6.0,-1.0,,
123,75871,1,8.0,-1.0,,
124,76045,1,-1.0,4.0,,
125,76494,1,2.0,-1.0,,
126,76845,1,4.0,-1.0,,
127,77225,1,6.0,-1.0,,
128,78166,1,-1.0,3.0,,
129,78743,1,-1.0,9.0,,
130,80858,1,7.0,-1.0,,
131,80995,1,1.0,-1.0,,
132,81619,1,-1.0,7.0,,
133,82582,1,7.0,-1.0,,
134,82665,1,-1.0,8.0,,
135,82686,1,-1.0,4.0,,
136,83434,1,-1.0,4.0,,
137,84483,1,9.0,-1.0,,
138,85171,1,8.0,-1.0,,
139,85698,1,2.0,-1.0,,
140,85838,1,5.0,-1.0,,
141,86321,1,-1.0,7.0,,
142,86455,1,-1.0,3.0,,
143,88457,1,-1.0,5.0,,
144,88771,1,0.0,-1.0,,
145,89471,1,6.0,-1.0,,
146,89598,1,7.0,-1.0,,
147,90085,1,6.0,-1.0,,
148,90362,1,7.0,-1.0,,
149,90519,1,-1.0,1.0,,
150,90849,1,-1.0,0.0,,
151,90902,1,0.0,-1.0,,
152,92758,1,9.0,-1.0,,
153,93002,1,4.0,-1.0,,
154,93008,1,0.0,-1.0,,
155,93088,1,9.0,-1.0,,
156,93754,1,5.0,-1.0,,
157,93908,1,0.0,-1.0,,
158,94681,1,-1.0,8.0,,
159,95954,1,4.0,-1.0,,
160,96089,1,-1.0,9.0,,
161,96681,1,4.0,-1.0,,
162,97180,1,8.0,-1.0,,
163,97521,1,2.0,-1.0,,
164,99195,1,1.0,-1.0,,
165,99285,1,3.0,-1.0,,
166,99942,1,-1.0,0.0,,
